number,player,team,age,season,gp,w,l,min_column,pts,fgm,fga,fg,threepm,threepa,threep,ftm,fta,ft,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,plus_minus,rankings,predictions
308,Jordan Clarkson,UTA,28,2019-20,71,34,37,24.0,15.2,5.5,12.2,45.4,2.1,5.8,36.8,1.9,2.3,83.6,0.7,1.9,2.6,1.9,1.4,0.6,0.2,1.5,22.5,0.0,0.0,-0.1,78.0,79.0
309,Jordan McLaughlin,MIN,24,2019-20,30,7,23,19.7,7.6,2.9,5.9,48.9,1.0,2.5,38.2,0.9,1.3,66.7,0.2,1.4,1.6,4.2,1.0,1.1,0.1,1.0,18.6,2.0,0.0,-2.3,74.0,74.0
310,Jordan McRae,DET,29,2019-20,37,12,25,21.2,11.5,4.0,9.9,40.7,1.2,3.4,35.7,2.2,2.9,76.1,0.5,2.9,3.4,2.5,1.2,0.6,0.4,2.0,21.1,0.0,0.0,-2.0,74.0,76.0
311,Jordan Poole,GSW,21,2019-20,57,12,45,22.3,8.8,2.9,8.8,33.3,1.3,4.6,27.9,1.7,2.1,79.8,0.2,1.9,2.1,2.4,1.3,0.6,0.2,1.6,15.9,0.0,0.0,-3.5,72.0,73.0
312,Josh Gray,NOP,26,2019-20,2,1,1,11.4,1.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,2.5,0.0,0.0,0.5,1.2,0.0,0.0,-3.5,67.0,70.0
313,Josh Hart,NOP,25,2019-20,65,26,39,27.0,10.1,3.5,8.2,42.3,1.9,5.4,34.2,1.3,1.8,73.9,0.9,5.6,6.5,1.7,1.2,1.0,0.4,2.5,23.2,10.0,0.0,-1.8,75.0,76.0
314,Josh Jackson,MEM,23,2019-20,22,10,12,17.3,9.0,3.2,7.2,44.0,1.0,3.3,31.9,1.6,2.3,70.0,0.5,2.5,3.0,1.6,1.3,0.8,0.4,1.8,17.4,0.0,0.0,1.1,73.0,76.0
315,Josh Magette,ORL,30,2019-20,8,3,5,4.7,1.5,0.6,1.9,33.3,0.1,0.5,25.0,0.1,0.3,50.0,0.1,0.6,0.8,0.6,0.6,0.4,0.1,0.5,4.2,0.0,0.0,0.1,68.0,70.0
316,Josh Okogie,MIN,21,2019-20,62,19,43,25.0,8.6,2.7,6.4,42.7,0.7,2.5,26.6,2.5,3.1,79.6,1.4,2.9,4.3,1.6,1.4,1.1,0.4,2.2,19.3,0.0,0.0,-2.6,74.0,76.0
317,Josh Reaves,DAL,23,2019-20,4,2,2,7.1,2.0,0.8,2.3,33.3,0.0,0.5,0.0,0.5,0.5,100.0,0.3,0.5,0.8,0.8,0.0,0.0,0.0,1.3,4.0,0.0,0.0,1.3,67.0,69.0
