number,player,team,age,season,gp,w,l,min_column,pts,fgm,fga,fg,threepm,threepa,threep,ftm,fta,ft,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,plus_minus,rankings,predictions
531,Seth Curry,DAL,29,2019-20,64,38,26,24.6,12.4,4.4,9.0,49.5,2.3,5.0,45.2,1.3,1.5,82.5,0.4,1.8,2.3,1.9,1.0,0.6,0.1,1.8,19.3,0.0,0.0,2.5,78.0,78.0
532,Shabazz Napier,WAS,28,2019-20,56,16,40,24.0,10.3,3.4,8.1,41.2,1.4,4.3,31.7,2.3,2.7,82.4,0.5,2.4,2.8,4.7,2.3,1.2,0.2,1.8,22.7,2.0,1.0,-1.7,76.0,76.0
533,Shai Gilgeous-Alexander,OKC,21,2019-20,70,43,27,34.7,19.0,6.8,14.5,47.1,1.2,3.6,34.7,4.1,5.1,80.7,0.7,5.2,5.9,3.3,1.9,1.1,0.7,1.7,34.5,9.0,1.0,2.2,84.0,87.0
534,Shake Milton,PHI,23,2019-20,40,23,17,20.1,9.4,3.4,6.9,48.4,1.5,3.4,43.0,1.3,1.6,78.5,0.4,1.8,2.2,2.6,1.2,0.5,0.2,2.3,16.8,0.0,0.0,-0.1,75.0,74.0
535,Shamorie Ponds,TOR,22,2019-20,4,4,0,2.6,2.3,0.8,1.3,60.0,0.3,0.5,50.0,0.5,0.5,100.0,0.0,0.3,0.3,0.5,0.0,0.0,0.3,0.5,4.1,0.0,0.0,0.0,68.0,70.0
536,Shaquille Harrison,CHI,26,2019-20,43,14,29,11.3,4.9,1.8,3.8,46.7,0.4,1.0,38.1,0.9,1.2,78.0,0.5,1.5,2.0,1.1,0.4,0.8,0.4,1.3,12.2,1.0,0.0,1.4,73.0,73.0
537,Sindarius Thornwell,NOP,25,2019-20,2,0,2,17.7,8.0,3.0,5.5,54.5,1.0,2.0,50.0,1.0,2.0,50.0,0.0,2.0,2.0,2.0,1.0,0.5,0.5,1.0,15.4,0.0,0.0,-1.5,71.0,74.0
538,Skal Labissiere,ATL,24,2019-20,33,14,19,17.2,5.8,2.5,4.5,55.1,0.1,0.4,23.1,0.8,1.0,75.8,2.0,3.2,5.1,1.3,0.9,0.2,0.9,2.7,16.4,1.0,0.0,0.4,74.0,76.0
539,Solomon Hill,MIA,29,2019-20,59,29,30,18.4,5.5,1.9,4.7,39.6,1.1,2.9,36.8,0.7,0.9,74.1,0.5,2.3,2.8,1.8,0.9,0.7,0.2,1.4,13.4,0.0,0.0,-1.3,71.0,74.0
540,Spencer Dinwiddie,BKN,27,2019-20,64,30,34,31.2,20.6,6.6,16.0,41.5,1.9,6.3,30.8,5.4,7.0,77.8,0.5,3.0,3.5,6.8,2.7,0.6,0.3,2.8,35.0,9.0,0.0,0.8,83.0,86.0
541,Stanley Johnson,TOR,24,2019-20,25,19,6,6.0,2.4,0.9,2.4,37.3,0.3,1.0,29.2,0.4,0.6,56.3,0.3,1.2,1.5,0.8,0.6,0.2,0.2,0.6,6.0,0.0,0.0,0.5,71.0,69.0
542,Stanton Kidd,UTA,28,2019-20,4,3,1,3.8,0.0,0.0,0.8,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,0.5,0.0,0.0,0.8,0.8,0.0,0.0,-0.3,68.0,70.0
543,Stephen Curry,GSW,32,2019-20,5,1,4,27.9,20.8,6.6,16.4,40.2,2.4,9.8,24.5,5.2,5.2,100.0,0.8,4.4,5.2,6.6,3.2,1.0,0.4,2.2,37.9,1.0,0.0,-9.0,95.0,87.0
544,Sterling Brown,MIL,25,2019-20,52,39,13,14.7,5.1,1.8,4.9,37.1,0.8,2.6,32.4,0.6,0.8,80.0,0.6,2.9,3.5,1.0,0.8,0.6,0.1,1.0,12.1,1.0,0.0,1.3,71.0,72.0
545,Steven Adams,OKC,26,2019-20,63,40,23,26.7,10.9,4.5,7.6,59.2,0.0,0.0,33.3,1.9,3.2,58.2,3.3,6.0,9.3,2.3,1.5,0.8,1.1,1.9,29.6,22.0,0.0,2.4,82.0,79.0
553,TJ Leaf,IND,23,2019-20,28,16,12,7.9,3.0,1.3,3.1,41.9,0.2,0.6,27.8,0.3,0.6,43.8,0.8,1.7,2.5,0.3,0.3,0.4,0.1,0.8,7.7,1.0,0.0,0.3,71.0,72.0
554,Tacko Fall,BOS,24,2019-20,7,5,2,4.6,3.3,1.6,2.0,78.6,0.0,0.0,0.0,0.1,0.4,33.3,0.1,2.0,2.1,0.1,0.4,0.1,0.6,1.0,7.8,0.0,0.0,1.0,70.0,70.0
555,Taj Gibson,NYK,35,2019-20,62,21,41,16.5,6.1,2.7,4.6,58.4,0.1,0.2,28.6,0.7,0.9,73.2,1.8,2.5,4.3,0.8,0.8,0.4,0.5,2.0,14.5,0.0,0.0,-4.2,77.0,74.0
556,Talen Horton-Tucker,LAL,19,2019-20,6,2,4,13.5,5.7,2.3,5.0,46.7,0.7,2.2,30.8,0.3,0.7,50.0,0.3,0.8,1.2,1.0,1.0,1.3,0.2,1.7,12.1,0.0,0.0,-3.0,72.0,75.0
557,Tariq Owens,PHX,25,2019-20,3,0,3,5.1,1.3,0.3,1.7,20.0,0.0,0.7,0.0,0.7,0.7,100.0,0.7,0.3,1.0,0.0,0.0,0.3,0.0,0.3,3.5,0.0,0.0,-5.3,68.0,70.0
558,Taurean Prince,BKN,26,2019-20,64,30,34,29.0,12.1,4.3,11.5,37.6,2.3,6.7,33.9,1.1,1.4,79.8,0.8,5.2,6.0,1.8,2.0,0.9,0.4,2.5,23.8,8.0,0.0,1.1,73.0,78.0
559,Terance Mann,LAC,23,2019-20,41,27,14,8.8,2.4,0.9,1.9,46.8,0.2,0.5,35.0,0.4,0.7,66.7,0.2,1.1,1.3,1.3,0.4,0.3,0.1,1.1,6.7,1.0,0.0,-0.1,71.0,72.0
560,Terence Davis,TOR,23,2019-20,72,53,19,16.8,7.5,2.8,6.1,45.6,1.3,3.4,38.8,0.7,0.8,86.4,0.7,2.6,3.3,1.6,1.1,0.5,0.2,1.7,15.0,1.0,0.0,2.8,76.0,75.0
561,Terrance Ferguson,OKC,22,2019-20,56,33,23,22.5,3.9,1.4,3.9,35.5,0.9,3.0,29.2,0.3,0.4,75.0,0.4,0.9,1.3,0.9,0.6,0.5,0.3,2.8,8.7,0.0,0.0,-2.6,71.0,72.0
562,Terrence Ross,ORL,29,2019-20,69,31,38,27.4,14.7,4.9,12.3,40.3,2.6,7.3,35.1,2.3,2.7,85.3,0.2,3.0,3.2,1.2,1.0,1.1,0.3,1.6,23.7,0.0,0.0,-1.0,78.0,79.0
563,Terry Rozier,CHA,26,2019-20,63,21,42,34.4,18.0,6.3,14.9,42.3,2.7,6.7,40.7,2.6,3.0,87.4,0.8,3.6,4.4,4.1,2.2,1.0,0.2,2.0,30.6,2.0,0.0,-6.3,79.0,79.0
564,Thabo Sefolosha,HOU,36,2019-20,41,27,14,10.6,2.2,0.9,2.2,40.7,0.4,1.3,27.8,0.1,0.2,37.5,0.5,1.8,2.3,0.6,0.4,0.6,0.3,1.0,8.1,0.0,0.0,0.9,72.0,74.0
565,Thaddeus Young,CHI,32,2019-20,64,22,42,24.9,10.3,4.2,9.4,44.8,1.2,3.5,35.6,0.7,1.1,58.3,1.5,3.5,4.9,1.8,1.6,1.4,0.4,2.1,22.7,2.0,0.0,-3.3,76.0,76.0
566,Thanasis Antetokounmpo,MIL,27,2019-20,20,16,4,6.4,2.8,1.2,2.4,50.0,0.0,0.5,0.0,0.4,0.9,41.2,0.6,0.6,1.2,0.8,0.6,0.4,0.1,0.9,6.1,0.0,0.0,-0.8,70.0,70.0
567,Theo Pinson,NYK,24,2019-20,33,15,18,11.1,3.6,1.4,4.7,29.0,0.5,2.4,18.8,0.5,0.5,93.8,0.3,1.3,1.6,1.7,1.0,0.5,0.1,1.1,9.1,0.0,0.0,-1.2,69.0,73.0
568,Thomas Bryant,WAS,22,2019-20,46,15,31,24.9,13.2,5.3,9.1,58.1,0.8,2.0,40.7,1.9,2.5,74.1,2.1,5.1,7.2,1.8,1.2,0.5,1.1,2.2,28.3,11.0,0.0,-3.5,79.0,80.0
569,Thon Maker,DET,23,2019-20,60,20,40,12.9,4.7,1.6,3.2,48.2,0.4,1.1,34.4,1.2,1.8,66.4,0.9,1.9,2.8,0.7,0.8,0.4,0.7,1.7,11.5,2.0,0.0,-2.4,73.0,73.0
570,Tim Frazier,DET,29,2019-20,27,9,18,13.1,3.6,1.3,3.5,36.2,0.4,1.1,33.3,0.7,0.9,79.2,0.3,0.9,1.2,3.4,1.3,0.5,0.1,1.6,10.9,0.0,0.0,-2.0,72.0,73.0
571,Tim Hardaway Jr.,DAL,28,2019-20,71,41,30,29.5,15.8,5.4,12.5,43.4,2.9,7.2,39.8,2.1,2.6,81.9,0.4,2.9,3.3,1.9,1.0,0.6,0.1,1.8,23.6,0.0,0.0,4.1,78.0,79.0
572,Timothe Luwawu-Cabarrot,BKN,25,2019-20,47,20,27,18.1,7.8,2.5,5.7,43.5,1.3,3.4,38.8,1.5,1.7,85.2,0.6,2.1,2.7,0.6,0.8,0.4,0.1,2.3,12.7,0.0,0.0,-1.1,74.0,73.0
573,Tobias Harris,PHI,27,2019-20,72,43,29,34.3,19.6,7.7,16.3,47.1,1.8,5.0,36.7,2.4,3.0,80.6,1.0,5.9,6.9,3.2,1.4,0.7,0.6,2.3,35.0,11.0,0.0,2.2,84.0,81.0
574,Tomas Satoransky,CHI,28,2019-20,65,22,43,28.9,9.9,3.6,8.5,43.0,1.0,3.1,32.2,1.6,1.9,87.6,1.2,2.7,3.9,5.4,2.0,1.2,0.1,2.1,24.8,3.0,0.0,-1.1,76.0,77.0
575,Tony Bradley,UTA,22,2019-20,58,36,22,11.4,4.9,2.2,3.3,66.7,0.1,0.1,100.0,0.5,0.8,65.2,1.9,2.7,4.6,0.4,0.5,0.2,0.6,2.0,12.9,1.0,0.0,-0.2,75.0,74.0
576,Tony Snell,DET,28,2019-20,59,18,41,27.8,8.0,2.9,6.5,44.5,1.7,4.3,40.2,0.5,0.5,100.0,0.2,1.7,1.9,2.2,0.5,0.5,0.3,1.7,15.4,0.0,0.0,-2.9,72.0,74.0
577,Torrey Craig,DEN,29,2019-20,58,38,20,18.5,5.4,2.1,4.6,46.1,0.8,2.4,32.6,0.4,0.6,61.1,1.1,2.2,3.3,0.8,0.4,0.4,0.6,2.3,13.2,2.0,0.0,-3.0,74.0,74.0
578,Trae Young,ATL,21,2019-20,60,18,42,35.3,29.6,9.1,20.8,43.7,3.4,9.5,36.1,8.0,9.3,86.0,0.5,3.7,4.3,9.3,4.8,1.1,0.1,1.7,47.6,28.0,2.0,-3.8,88.0,89.0
579,Tremont Waters,BOS,22,2019-20,11,8,3,10.8,3.6,1.3,4.5,28.6,0.4,2.2,16.7,0.7,0.7,100.0,0.0,1.1,1.1,1.5,1.4,0.9,0.2,1.2,9.0,0.0,0.0,1.8,69.0,70.0
580,Treveon Graham,ATL,26,2019-20,55,21,34,16.9,4.4,1.6,4.4,36.0,0.6,2.2,27.5,0.7,1.0,64.3,0.9,1.8,2.7,0.8,0.5,0.4,0.1,1.9,10.0,0.0,0.0,-2.7,71.0,72.0
581,Trevor Ariza,POR,35,2019-20,53,22,31,28.2,8.0,2.7,6.1,43.8,1.5,3.9,37.2,1.2,1.4,83.8,0.6,4.0,4.6,1.7,1.1,1.3,0.3,2.1,19.8,0.0,0.0,-0.2,74.0,76.0
582,Trey Burke,DAL,27,2019-20,33,16,17,15.8,7.4,2.8,6.3,45.0,1.0,2.3,42.7,0.7,0.9,79.3,0.5,1.0,1.5,2.5,0.6,0.5,0.1,1.0,14.0,0.0,0.0,0.8,76.0,75.0
583,Trey Lyles,SAS,24,2019-20,63,27,36,20.2,6.4,2.4,5.4,44.6,1.0,2.7,38.7,0.5,0.7,73.3,1.1,4.6,5.7,1.1,0.6,0.4,0.4,1.6,17.0,2.0,0.0,-0.9,75.0,74.0
584,Tristan Thompson,CLE,29,2019-20,57,19,38,30.2,12.0,5.1,9.9,51.2,0.2,0.4,39.1,1.7,2.8,61.5,4.0,6.2,10.1,2.1,1.8,0.6,0.9,2.2,29.9,25.0,0.0,-6.6,79.0,79.0
585,Troy Brown Jr.,WAS,20,2019-20,69,24,45,25.8,10.4,4.0,9.0,43.9,0.9,2.6,34.1,1.6,2.0,78.4,1.1,4.4,5.6,2.6,1.1,1.2,0.1,1.9,23.8,6.0,0.0,-3.3,78.0,77.0
590,Troy Daniels,DEN,28,2019-20,47,34,13,11.3,4.3,1.5,4.0,38.7,1.0,2.8,34.8,0.2,0.3,62.5,0.3,0.9,1.1,0.4,0.3,0.2,0.1,0.8,6.8,0.0,0.0,0.1,71.0,72.0
591,Ty Jerome,PHX,22,2019-20,31,16,15,10.6,3.3,1.2,3.6,33.6,0.5,1.6,28.0,0.4,0.5,75.0,0.2,1.3,1.5,1.4,0.6,0.5,0.1,0.9,8.4,0.0,0.0,-3.3,71.0,69.0
592,Tyler Cook,DEN,22,2019-20,13,3,10,4.2,1.8,0.6,0.9,66.7,0.0,0.0,0.0,0.5,0.6,87.5,0.5,0.6,1.1,0.1,0.2,0.2,0.0,0.4,3.6,0.0,0.0,-1.3,68.0,70.0
593,Tyler Herro,MIA,20,2019-20,55,34,21,27.4,13.5,4.9,11.5,42.8,2.1,5.4,38.9,1.6,1.8,87.0,0.3,3.8,4.1,2.2,1.6,0.6,0.2,1.4,22.5,1.0,0.0,-0.4,78.0,79.0
594,Tyler Johnson,BKN,28,2019-20,39,16,23,18.2,7.0,2.5,6.4,38.8,1.0,3.1,31.9,1.1,1.3,84.0,0.5,1.5,1.9,1.9,0.7,0.4,0.2,1.5,13.4,0.0,0.0,-2.6,72.0,73.0
595,Tyler Zeller,SAS,30,2019-20,2,1,1,1.9,1.0,0.5,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,1.5,72.0,70.0
596,Tyrone Wallace,ATL,26,2019-20,14,3,11,11.5,2.9,1.0,3.1,31.8,0.1,1.1,6.7,0.8,1.2,64.7,0.2,1.4,1.6,0.9,0.7,0.5,0.1,1.4,7.1,0.0,0.0,-2.3,68.0,69.0
597,Tyson Chandler,HOU,37,2019-20,26,15,11,8.4,1.3,0.5,0.7,77.8,0.0,0.0,0.0,0.2,0.5,46.2,1.0,1.6,2.5,0.2,0.3,0.2,0.3,1.2,6.0,0.0,0.0,1.2,72.0,73.0
598,Tyus Jones,MEM,24,2019-20,65,32,33,19.0,7.4,3.0,6.6,45.9,0.7,1.9,37.9,0.7,0.9,74.1,0.1,1.4,1.6,4.4,0.8,0.9,0.1,0.7,18.1,0.0,0.0,-0.8,76.0,74.0
599,Udonis Haslem,MIA,40,2019-20,4,3,1,11.0,3.0,1.0,2.8,36.4,0.3,0.8,33.3,0.8,1.0,75.0,0.3,3.8,4.0,0.3,0.3,0.0,0.0,1.5,7.9,0.0,0.0,-4.8,70.0,69.0
600,Vic Law,ORL,24,2019-20,8,2,6,7.7,1.9,0.8,2.3,33.3,0.1,0.9,14.3,0.3,0.8,33.3,0.3,1.1,1.4,0.4,0.3,0.3,0.0,0.8,4.6,0.0,0.0,-0.9,69.0,70.0
601,Victor Oladipo,IND,28,2019-20,19,11,8,27.8,14.5,5.1,12.9,39.4,1.7,5.5,31.7,2.5,3.1,81.4,0.5,3.5,3.9,2.9,2.5,0.9,0.2,1.9,24.5,0.0,0.0,-0.3,82.0,78.0
605,Vincent Poirier,BOS,26,2019-20,22,18,4,5.9,1.9,0.8,1.6,47.2,0.0,0.1,50.0,0.3,0.3,85.7,0.6,1.4,2.0,0.4,0.4,0.1,0.4,1.1,5.9,0.0,0.0,-0.9,73.0,70.0
606,Vlatko Cancar,DEN,23,2019-20,14,7,7,3.2,1.2,0.4,1.1,40.0,0.1,0.4,16.7,0.3,0.3,100.0,0.4,0.4,0.7,0.2,0.2,0.1,0.1,0.5,2.6,0.0,0.0,-0.6,70.0,70.0
607,Wayne Ellington,NYK,32,2019-20,36,9,27,15.5,5.1,1.7,4.8,35.1,1.4,4.0,35.0,0.3,0.4,84.6,0.1,1.7,1.8,1.2,0.5,0.4,0.1,1.1,10.0,0.0,0.0,-0.5,72.0,72.0
608,Wendell Carter Jr.,CHI,21,2019-20,43,15,28,29.2,11.3,4.3,8.0,53.4,0.1,0.7,20.7,2.6,3.5,73.7,3.2,6.2,9.4,1.2,1.7,0.8,0.8,3.8,27.5,17.0,0.0,-0.7,79.0,79.0
612,Wenyen Gabriel,POR,23,2019-20,30,10,20,7.8,2.1,0.7,1.6,43.8,0.2,0.7,30.0,0.5,0.7,68.2,0.7,1.0,1.7,0.3,0.5,0.4,0.2,1.3,5.8,0.0,0.0,-1.5,70.0,70.0
614,Wesley Matthews,MIL,33,2019-20,67,52,15,24.4,7.4,2.5,6.3,39.6,1.6,4.4,36.4,0.8,1.0,76.5,0.3,2.1,2.5,1.4,0.6,0.6,0.1,1.5,13.9,0.0,0.0,6.8,75.0,75.0
615,Will Barton,DEN,29,2019-20,58,38,20,33.0,15.1,5.7,12.7,45.0,1.9,5.0,37.5,1.8,2.3,76.7,1.3,5.0,6.3,3.7,1.5,1.1,0.5,2.1,31.2,7.0,0.0,4.2,79.0,79.0
616,William Howard,HOU,26,2019-20,2,1,1,6.6,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,1.5,0.0,0.0,-8.0,68.0,67.0
617,Willie Cauley-Stein,DAL,26,2019-20,54,16,38,20.3,7.2,3.2,5.6,57.9,0.0,0.0,0.0,0.7,1.2,60.6,1.6,4.3,5.8,1.3,0.7,0.9,1.1,2.2,21.5,3.0,0.0,-2.4,77.0,76.0
618,Willy Hernangomez,CHA,26,2019-20,31,7,24,12.1,6.1,2.4,4.5,53.2,0.2,0.7,22.7,1.2,1.9,62.7,1.4,2.9,4.3,0.9,1.0,0.3,0.2,1.0,13.4,2.0,0.0,-0.6,75.0,76.0
619,Wilson Chandler,BKN,33,2019-20,35,16,19,21.0,5.9,2.1,5.2,40.4,1.1,3.5,30.6,0.6,0.7,87.0,0.3,3.8,4.1,1.1,1.0,0.5,0.3,2.3,13.9,0.0,0.0,-3.4,70.0,73.0
620,Yogi Ferrell,SAC,27,2019-20,50,20,30,10.6,4.4,1.6,3.8,42.0,0.5,1.6,30.4,0.7,0.8,85.7,0.1,0.9,1.0,1.4,0.6,0.4,0.1,0.8,8.4,0.0,0.0,-0.3,71.0,73.0
621,Yuta Watanabe,MEM,25,2019-20,18,9,9,5.8,2.0,0.8,1.9,44.1,0.2,0.4,37.5,0.2,0.4,37.5,0.4,0.7,1.1,0.3,0.1,0.3,0.1,0.5,4.6,0.0,0.0,0.6,68.0,70.0
622,Zach Collins,POR,22,2019-20,11,8,3,26.4,7.0,2.9,6.2,47.1,0.6,1.7,36.8,0.5,0.7,75.0,2.3,4.0,6.3,1.5,1.3,0.5,0.5,3.3,18.2,0.0,0.0,3.3,75.0,74.0
623,Zach LaVine,CHI,25,2019-20,60,20,40,34.8,25.5,9.0,20.0,45.0,3.1,8.1,38.0,4.5,5.6,80.2,0.7,4.1,4.8,4.2,3.4,1.5,0.5,2.2,40.0,2.0,0.0,-3.2,85.0,87.0
624,Zach Norvell Jr.,GSW,22,2019-20,5,2,3,8.2,2.0,0.6,2.4,25.0,0.6,1.6,37.5,0.2,0.2,100.0,0.0,1.2,1.2,0.6,0.6,0.4,0.0,0.8,4.9,0.0,0.0,-5.4,68.0,69.0
628,Zhaire Smith,PHI,21,2019-20,7,3,4,4.6,1.1,0.4,1.6,27.3,0.0,0.4,0.0,0.3,0.6,50.0,0.0,0.3,0.3,0.3,0.3,0.4,0.0,0.6,2.9,0.0,0.0,-1.4,70.0,70.0
629,Zion Williamson,NOP,19,2019-20,24,11,13,27.8,22.5,8.8,15.0,58.3,0.3,0.6,42.9,4.8,7.4,64.0,2.7,3.6,6.3,2.1,2.5,0.7,0.4,1.8,33.8,2.0,0.0,2.6,86.0,83.0
630,Zylan Cheatham,NOP,24,2019-20,4,2,2,12.8,3.0,1.5,2.3,66.7,0.0,0.3,0.0,0.0,0.0,0.0,0.8,1.5,2.3,0.8,1.0,0.3,0.3,2.5,7.3,0.0,0.0,-7.0,67.0,70.0
